Academic Period,Academic Level,Instructional Method,Course Subjects,Section,Course Definition,Abbreviated Title,Description,All Instructors,Enrollment Count,Section Capacity,Section Status,All Conflicting Activity Offerings,Section Details,Locations,Meeting Patterns,Meeting Day Patterns,Start Time,End Time,Subject,Course Number,Section Number,Hidden Course Section
Fall 2023,Undergraduate,Lecture,English,ENGL 304-01 - Narratives of Suffering,ENGL 304 - Narratives of Suffering,Narratives of Suffering,"It’s possible to imagine people who have not yet suffered, who have not yet had a peculiarly intense and sustained experience of physical or psychic pain. Those imaginary people are, however, vulnerable to future suffering. Even more importantly, they live in a world in which many others suffer, so many that a refusal to attend to suffering amounts to a refusal of a meaningfully relational existence. Thinking and feeling in response to suffering is, accordingly, an inescapable aspect of what Henri Bergson describes as “a really living life.” But how do we respond to suffering, whether in others or in ourselves? How do we take it in without appropriating it? How do we express it without turning it into a spectacle? These questions and others like them are difficult, but the aim of this course is to generate an intellectual and emotional atmosphere in which we can be transformed by the process of taking them up. Readings include The Book of Job, King Lear, Toni Morrison’s Beloved, Art Spiegelman’s Maus, and Cormac McCarthy’s The Road.
Limited to 25 students. Fall semester. Professor Sanborn.

How to handle overenrollment: If over-enrolled, enrollment will be by permission of the instructor, on the basis of written account of need and desire for the class.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Learning how to read closely and with emotional intelligence; learning how to augment the experience of reading through informal reflective writing and class participation; learning that all ideas are associatively connected to other ideas and that there are powerful alternatives to state-illustrate-restate arguments. There will be pre-class writing assignments, two papers, and an emphasis on the quality of the contributions to class discussion. There will be no quizzes or exams.",Geoffrey Sanborn,28,28,Closed,,Tuesday/Thursday | 2:30 PM - 3:50 PM,,Tuesday/Thursday | 2:30 PM - 3:50 PM,Tuesday/Thursday,11:30,12:50,English,304,01,
Fall 2023,Undergraduate,Lecture,English,ENGL 306-01 - Advanced Poetry,ENGL 306 - Advanced Poetry,Advanced Poetry,"An upper-level workshop for students interested in exploring larger projects in poetry or in hybrid forms. We will study chapbooks, long poems, sequences, docupoetics and other work that expands our understanding of the genre. Students will design a chapbook-length (20-25 page) project to write and revise over the course of the semester.  Readings may include Terrance Hayes, C.D. Wright, Banu Kapil, Theresa Cha, Alice Notely, M. Norbse Phillips, Jorie Graham, Rita Dove, Maggie Nelson, Sahar Muradi, Ilya Kaminsky, Alice Oswald, Victoria Chang, Anne Carson, Kazim Ali and Claudia Rankine.
Requisite: ENGL 221, ENGL 324, a course in hybrid forms or other equivalent groundwork in creative writing. Those without prerequisites may be admitted by permission of instructor based on a writing sample. Not open to first-year students. Limited to 12 students. Fall semester. Lecturer Kapur.

How to handle overenrollment: Preference will be given to seniors, followed by juniors, then sophomores. 

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work, readings, independent research, oral presentations, group work, artistic work.",Kirun Kapur,6,12,Open,,Wednesday | 2:00 PM - 5:00 PM,,Wednesday | 2:00 PM - 5:00 PM,Wednesday,11:00,14:00,English,306,01,
Fall 2023,Undergraduate,Lecture,"English

Latinx and Latin Amer Studies",ENGL 308-01/ LLAS 308-01 - Latinx Literature,ENGL 308/ LLAS 308 - Latinx Literature,Latinx Literature,"(Offered as ENGL 308 and LLAS 308) In this course, we will read and discuss recent works of Latinx literature across genres – novel, poetry, memoir, essay, and YA – in engagement with the live debates surrounding language, race, migration, and global capitalism that shape our definitions of Latinx identity and culture (and of literature itself). We will also experiment with different ways of responding to these literary texts in written forms ranging from creative writing to book review to research prospectus. Possible authors may include: Karla Cornejo Villavicencio, Dolores Dorantes, Angie Cruz, Valeria Luiselli, Raquel Salas Rivera, Natalie Diaz, Elizabeth Acevedo, and more.
Limited to 20 students. Fall semester. Professor Mireles Christoff.

How to handle overenrollment: Preference given to ENGL & LLAS majors, especially those who have taken LLAS-200 Major Debates

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on reading, conversation, and critical-creative written work",Alicia Christoff,5,20,Open,,Tuesday | 1:00 PM - 3:45 PM,,Tuesday | 1:00 PM - 3:45 PM,Tuesday,10:00,12:45,English,308,01,
Fall 2023,Undergraduate,Lecture,"English

Russian",ENGL 315-01/ RUSS 225-01 - Vladimir Nabokov,ENGL 315/ RUSS 225 - Vladimir Nabokov,Vladimir Nabokov,"(Offered as RUSS 225 and ENGL 315) This course looks at the fiction and career of Vladimir Nabokov, a trilingual fiction writer of genius and a sophisticated self-promoter. As a liberal aristocrat living in exile in Berlin and Paris during the 1920s and 1930s, the young Nabokov was hailed as the hope of an entire generation of émigrés – artists and writers forced out of their homeland following the Russian Revolution. We first examine this European career in its publishing and media contexts, including his writing for translation into German, French, and English and for adaptation into screenplays for silent and early sound cinema. We then track to his move to America and discover how a transnational career is crafted. Modernist fiction of this period was shadowed and overshadowed by a burgeoning film industry: we will watch a number of great movies from the silent and early sound era, including some of the masterpieces of Weimar cinema by the directors who would go on to create film noir in Hollywood. We will focus on a range of Nabokov’s darkly comic novels: The Luzhin Defense, Laughter in the Dark, Invitation to a Beheading, Lolita, Pnin, and Pale Fire. During the course we will learn through Nabokov’s fiction to appreciate the subtleties of irony, voice, and parody; to think more deeply about the relation between history and culture (how do events engender works of art?); and to study the interaction between literature and visual culture. All readings in English.  
Fall semester. Professor Parker.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: TBA",Luke Parker,8,0,Open,,Monday/Wednesday | 12:30 PM - 1:50 PM,,Monday/Wednesday | 12:30 PM - 1:50 PM,Monday/Wednesday,09:30,10:50,Russian,225,01,
Fall 2023,Undergraduate,Lecture,"English

Sexuality Wmn's & Gndr Studies",ENGL 339-01/ SWAG 339-01 - Early Women Writers,ENGL 339/ SWAG 339 - Early Women Writers,Early Women Writers,"(Offered as ENGL 339 and SWAG 339) [before 1800] “A woman must have money and a room of her own if she is to write fiction,” Virginia Woolf famously said in 1929. But what did the landscape of women’s writing look like before women were allowed these liberties, and what effects did their social conditions have on their writing? This course focuses on the work of early female-identifying writers, from the medieval to the Romantic period–many of whom are still overlooked today. How did women writers participate in or drive the invention of new literary forms, such as the periodical and the novel? Does women’s writing have specific formal or stylistic characteristics, and are these affected by women’s social standing and access to education?  What does a literary history that fully includes women’s writing look like, and how does it differ from standard literary histories? We will attempt answers to these questions as we survey a wide range of writing by women from 1350 to 1850, moving through various genres. Poets, political agitators, religious mystics and martyrs, the authors of woman-centered periodicals, and novelists, will all feature on the syllabus. Our readings will include well-known works by writers such as Margery Kempe, Mary Wollstonecraft and Harriet Jacobs, along with lesser-known and even anonymous women-authored poetry, fiction, and non-fiction. Secondary readings by feminist critics and historians such as Judith Butler and Toril Moi will also frame our discussions. 
Limited to 25 students. Fall semester. Professors Nelson and Worsley.

How to handle overenrollment: Preference given to English and SWAG majors.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on engaged readings, written work,independent research, oral presentations, and group work.","Amelia Worsley

Ingrid Nelson",13,25,Open,,Tuesday/Thursday | 1:00 PM - 2:20 PM,,Tuesday/Thursday | 1:00 PM - 2:20 PM,Tuesday/Thursday,10:00,11:20,English,339,01,
Fall 2023,Undergraduate,Lecture,"English

Sexuality Wmn's & Gndr Studies",ENGL 372-01/ SWAG 365-01 - Reading the Romance,ENGL 372/ SWAG 365 - Reading the Romance,Reading the Romance,"(Offered as ENGL 372 and SWAG 365) Do people the world over love in the same way, or does romance mean different things in different cultures? What happens when love violates social norms? Is the “romance” genre an escape from real-world conflicts or a resolution of them? This course analyzes romantic narratives from across the world through the lens of feminist theories of sexuality, marriage, and romance. We will read the heterosexual romance such as Jane Austen’s Pride and Prejudice and popular romance author Julia Quinn's Bridgerton series, alongside queer films like Bros and trans-romances like Torrey Peters' Detransition, Baby . We will also pay attention to the Western romantic-comedy film, the telenovela, and the Bollywood spectacular.
Limited to 20 students. Not open to first-year students. Fall semester. Professor Shandilya.

How to handle overenrollment: Priority given to juniors and seniors

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: critical thinking, reading intensive, essay writing, and oral presentations.",Krupa Shandilya,18,20,Open,,Tuesday | 1:00 PM - 3:45 PM,,Tuesday | 1:00 PM - 3:45 PM,Tuesday,10:00,12:45,Sexuality Wmn's & Gndr Studies,365,01,
Fall 2023,Undergraduate,Lecture,"English

Film & Media Studies",ENGL 380-01/ FAMS 385-01 - Television Detection,ENGL 380/ FAMS 385 - Television Detection,Television Detection,"(Offered as ENGL 380 and FAMS 382) How do we “know” television today? That is, how do we understand its very definitions, and how do we approach an investigation of it? Shifts in programming, platforms, and viewing habits have quite literally altered how we see it, but do they also alter how we know it? In order to explore these questions, this course will focus on television’s representation of detection and its work as an investigative medium itself. Thus, our focus on detection will play a dual role: as an inquiry into the development of a genre and as a metaphor for television’s own peculiar form. In order to develop our own investigatory practice, then, we will begin with historical examples of television detectives. Looking at series from the 1950s through the present day, the first part of the course will delineate the investigative habits of episodic programming, including a focus on formulaic procedurals, made-for-television movies, and more experimental cases. The course will then turn to three case studies of contemporary serials made for different networks and/or platforms that showcase the investigative form and, indeed, the powers of detection of television as a medium. Each of these cases will focus on the processes of investigation of criminal and legal systems and of American culture. By thinking through narrative form, representational systems, authorship, exhibition, and reception habits, we will attempt to define not just what television is but also what it can be.   
Limited to 30 students. Fall semester. Professor Hastie.
Pending Faculty Approval

How to handle overenrollment: FAMS and English majors will be prioritized, as will juniors and seniors, but my hope is that it will serve students across the campus.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: textual and cultural analysis of films, emphasis on written work.",Amelie Hastie,13,30,Open,,Tuesday/Thursday | 2:30 PM - 3:50 PM,,Tuesday/Thursday | 2:30 PM - 3:50 PM,Tuesday/Thursday,11:30,12:50,English,380,01,
Fall 2023,Undergraduate,Lecture,English,ENGL 411-01 - Retelling 18th Cent Lit,ENGL 411 - Retelling 18th Cent Lit,Retelling 18th Cent Lit,"[Before 1800] What can retellings of eighteenth-century anglophone texts tell us about the original texts? This course centers on the relationship between eighteenth-century texts (including poetry, novels, plays and poems) and recent critical fabulations, adaptations, and works of historical fiction focused on this period. We will question what makes the eighteenth century a source of continued fascination. We will also explore how more recent retellings can reveal the ways in which eighteenth-century voices are often silenced or censored, even at moments when they profess to be speaking openly. As Edward Said argues, it is often necessary to read contrapuntally when encountering texts in this period, or to “listen for noise” amidst the silence. Violence is also often embedded in the eighteenth-century archive. Saidiya Hartman has written about what it means for eighteenth-century authors to “write at the limit of the unspeakable and the unknown,” and for readers to consider the conditions that dictate their silence. How far is it possible to reconstruct a sense of this period, in the face of these obstacles? And what might we intuit about our present moment—including its biases—by studying the relation between these periods? Selected texts include Gulliver’s Travels, The Great, Letters of the Late Ignatius Sancho, The Secret Diaries of Ignatius Sancho, Wheatley's Collected Poems, The Age of Phillis, Zong! and Mansfield Park.
Requisite: At least one course in ENGL. Limited to 18 students. Preference will be given to English majors. Fall semester. Professor Worsley.
Pending Faculty Approval

How to handle overenrollment: Preference will be given to junior and senior English majors.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on engaged readings, written work,independent research, oral presentations, and group work.",Amelia Worsley,6,18,Open,,Wednesday | 2:00 PM - 5:00 PM,,Wednesday | 2:00 PM - 5:00 PM,Wednesday,11:00,14:00,English,411,01,
Fall 2023,Undergraduate,Lecture,English,ENGL 470-01 - Decolonial Love,ENGL 470 - Decolonial Love,Decolonial Love,"Is decolonial love possible? What does it look and feel like? In this course, we will read creative writers and scholars who describe the ways that imperialism, capitalism, racism, and heteropatriarchy structure conventional ways of loving, caring, and forming social bonds, as well as conventional ways of writing literature and critique. We will follow these writers as they imagine alternative practices, asking how we might alter the aspects of ourselves and our worlds that seem as fundamental and intractable as our aesthetics, our desires, and our very pleasures. We will focus on important recent scholarship on race and coloniality by writers like Christina Sharpe, José Esteban Muñoz, Jasbir Puar, Jodi Byrd, Lisa Lowe, Katherine McKittrick, Tiffany Lethabo King, and others.
Open to juniors and seniors. Limited to 20 students. Fall semester. Professor Mireles Christoff.

How to handle overenrollment: Preference given to junior and senior majors.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on reading, conversation, and critical-creative written work",Alicia Christoff,22,20,Closed,,Tuesday | 8:50 AM - 11:20 AM,,Tuesday | 8:50 AM - 11:20 AM,Tuesday,05:50,08:20,English,470,01,
Fall 2023,Undergraduate,Lecture,English,ENGL 492-01 - Creative Thesis Workshop,ENGL 492 - Creative Thesis Workshop,Creative Thesis Workshop,"This is a non-required course for English majors who are currently working on a creative writing or hybrid thesis project. It is meant to offer guidance and a sense of community to these writers as they embark on what can feel like a formidable process. In this course, we will discuss and analyze examples of senior theses in various forms, and discuss issues peculiar to the task of planning, researching, and writing a project of this scope. We will read together to help writers identify models and understand the literary tradition(s) they are working in. We will also talk about the kinds of research that each project invites and requires, and about how to conduct and use that research.
Guided writing in class will play a key role in working through issues of technique, structure, and inspiration. Most important, this course offers students the chance to present and critique work-in-progress with a group of their peers.
Please note: This course does not replace ENGL-498, the Senior Tutorial, which covers students’ independent work under the tutelage of a thesis advisor.
Open to senior majors currently writing a creative or hybrid thesis. Limited to 18 students. Fall semester. Lecturer Sweeney.

How to handle overenrollment: Preference given to senior English majors currently writing a creative/hybrid thesis.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work, artistic practice, readings, independent research, group work",Dennis Sweeney,2,18,Open,,Thursday | 1:00 PM - 4:00 PM,,Thursday | 1:00 PM - 4:00 PM,Thursday,10:00,13:00,English,492,01,
Fall 2023,Undergraduate,Lecture,English,ENGL 498-01 - Senior Tutorial,ENGL 498 - Senior Tutorial,Senior Tutorial,"Open to senior English majors who wish to pursue a self-defined project in reading and writing. Students intending to elect this course must submit to the Department a five-page description and rationale for the proposed independent study. Those who propose projects in fiction, verse, playwriting, or autobiography must submit a substantial sample of work in the appropriate mode; students wishing to undertake critical projects must include a tentative bibliography with their proposal. Please consult the English Department website for deadlines and for more information on the senior honors process.
Preregistration is not allowed. Admission with consent of the instructor. Fall semester. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on written work, readings, independent research",,11,0,Open,,,,,,,,English,498,01,
Fall 2023,Undergraduate,Lecture,Environmental Studies,ENST 110-01 - Environ Science,ENST 110 - Environ Science,Environ Science,"This course provides an introduction to environmental science. Students will gain an understanding of the interactions between the biotic, which is inclusive of people, and the physical components of the Earth system. Through lecture, analysis of scientific literature, and lab we address topics such as biodiversity, agriculture, water resources, atmospheric pollution and climate change, and renewable and non-renewable energy, linking central scientific concepts to local, regional, and global case studies. In discussions, we explore policy applications and evaluate solutions based on scientific knowledge. Through field and laboratory experiences, students are introduced to methods for monitoring environmental quality, approaches for quantitative analysis of datasets, and conventions for reporting scientific findings.
Limited to 16 students. Fall semester. Assitant Professor Hewitt. 

How to handle overenrollment: Majors first, followed by class year (Seniors, Juniors, etc.)

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: An emphasis on written work, readings, oral presentations, group work, field work or trips, quantitative work, lab work.",Rebecca Hewitt,25,16,Closed,,Monday/Wednesday/Friday | 10:00 AM - 10:50 AM,,Monday/Wednesday/Friday | 10:00 AM - 10:50 AM,Monday/Wednesday/Friday,07:00,07:50,Environmental Studies,110,01,
Fall 2023,Undergraduate,Lecture,Environmental Studies,ENST 236-01 - Humanity in Nature,ENST 236 - Humanity in Nature,Humanity in Nature,"Over the past three decades, the new field of Environmental Humanities has become a widely recognized area of research and cultural engagement. Bringing together insights and approaches from fields as diverse as history, philosophy, religious studies, anthropology, literature, gender studies, the performing and visual arts, cultural studies, and communication studies, practitioners of the Environmental Humanities have been exploring new ways to understand, evaluate, and address planetary ecological crises and sustainability issues. In this course, we will introduce students to the key concepts and influential texts that animate this exciting sphere of inquiry. In addition to visits from several guest speakers, we will travel to regional museums and outdoor spaces. Students will write throughout the semester, and they will also pursue independent research that explores some aspect of the Environmental Humanities.
Limited to 25 students. Fall semester. Professors Melillo and Moore.
Pending Faculty Approval

How to handle overenrollment: 5 seats reserved for first-years; remaining priority given to History, Philosophy, and Environmental Studies Majors

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on written work, reading, independent research, and on and off-campus field trips (sometimes outside normal class meeting times).","Edward Melillo

Joseph Moore",13,25,Open,,Tuesday/Thursday | 10:00 AM - 11:20 AM,,Tuesday/Thursday | 10:00 AM - 11:20 AM,Tuesday/Thursday,07:00,08:20,Environmental Studies,236,01,
Fall 2023,Undergraduate,Lecture,Environmental Studies,ENST 250-01 - US Environ. Policy,ENST 250 - US Environ. Policy,US Environ. Policy,"This course is built around core readings on key policies and agencies of environmental governance in the US. It will provide students with a strong grasp of the most important environmental legislation in the United States (such as the National Environmental Policy Act, the Endangered Species Act, the Clean Water Act, and the Clean Air Act). We will explore how existing environmental laws and institutions have provided important environmental protections, and also where they have fallen short. We will also ask how environmental racism and other forms of inequality have been addressed or exacerbated by historical policies, with an eye towards identifying promising alternatives in the future. Students will examine the relationships between local, state, and federal agencies carrying out environmental governance. This class will explore how policy is ""political,"" and how it emerges from the actions of competing interest groups.
Requisite: ENST-120. Fall semester. Assistant Professor Ravikumar.

How to handle overenrollment: permission from Professor(s)

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: readings, written work, oral presentations, group work, independent research",Ashwin Ravikumar,31,0,Open,,Tuesday/Thursday | 11:30 AM - 12:50 PM,,Tuesday/Thursday | 11:30 AM - 12:50 PM,Tuesday/Thursday,08:30,09:50,Environmental Studies,250,01,
Fall 2023,Undergraduate,Laboratory,"Environmental Studies

Geology",ENST 253-01L/ GEOL 253-01L - Geospatial Inquiry,ENST 253/ GEOL 253 - Geospatial Inquiry,Geospatial Inquiry,"(Offered as GEOL-253 and ENST-253) Geospatial inquiry is an iterative creative process that involves asking, answering, and communicating the results of questions using data linked to geographic locations. The anticipated results of this process are thoughtfully assembled maps and geographic datasets that serve as accessible, persuasive, and even beautiful means of conveying large amounts of complex information. Geospatial thinking is a critical skill for pursuing a systems-based perspective on our rapidly changing and interconnected world.This course is a hands-on introduction to geospatial inquiry using geographic information systems (GIS) software applied to a variety of intersecting topics in environmental studies, natural science, and the humanities. Technical topics include geospatial data acquisition and database management, coordinate systems and projections, creation and manipulation of raster and vector datasets, data digitization, incorporation of field data into GIS, use of lidar, aerial imagery, and other remote sensing tools, and the production of professional-quality final maps.While there is a lecture component in the course, students will mainly be engaged in active learning in the form of skills tutorials, reflection and discussion assignments, independent and peer troubleshooting, and question-driven projects.
Fall semester. Limited to 25 students. Visiting Assistant Professor Fame.
Pending Faculty Approval

How to handle overenrollment: Priority will be given to Geology and Environmental Studies students as well as seniors needing GIS to support their work

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: active learning, independent & peer troubleshooting",,10,0,Open,,Thursday | 8:20 AM - 11:20 AM,,Thursday | 8:20 AM - 11:20 AM,Thursday,05:20,08:20,Geology,253,01L,
Fall 2023,Undergraduate,Lecture,"Environmental Studies

Sociology",ENST 270-01/ SOCI 270-01 - Food and Environment,ENST 270/ SOCI 270 - Food and Environment,Food and Environment,"(Offered as ENST-270 and SOCI-270) Food and farming make fundamental connections between humans and the earth. This course examines how agriculture, food systems, and rural development are entangled with environmental and social transformations around the world, and how we can cultivate solutions for global health, sustainability and social justice. Topics examined range from technological modernization and biotechnology to agroecology and food culture, malnutrition and obesity, food safety and environmental intoxication, land and labor struggles, race and gender issues in food systems, and from climate change to sustainable development. Readings draw from development studies and sociology, critical food and agrarian studies, political ecology and other interdisciplinary environmental studies. In addition to the lectures, students will cultivate critical thinking and improve skills in reading, writing, discussion, and creativity through dialogue, hands-on activities at the Book & Plow farm, creative exercises, and independent research.
One of ENST-120, ENST-226, ANTH-339, or permission of instructor. Limited to 20 students. Spring semester. Assistant Professor Zhang.

How to handle overenrollment: ENST majors first, followed by SOCI majors, undeclared, first and second years, then 5-College students

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: An emphasis on readings, discussion, independent research, written work, field work or trips, and creative exercises.",Li Zhang,17,20,Open,,Monday/Wednesday | 12:30 PM - 1:50 PM,,Monday/Wednesday | 12:30 PM - 1:50 PM,Monday/Wednesday,09:30,10:50,Environmental Studies,270,01,
Fall 2023,Undergraduate,Lecture,"Environmental Studies

Sociology",ENST 272-01/ SOCI 272-01 - Climate Justice,ENST 272/ SOCI 272 - Climate Justice,Climate Justice,"(Offered as ENST-272and SOCI-272) Climate Justice Now is an innovative course that takes students off campus and into the community to actively engage with work that people and organizations are doing to advance climate justice in Massachusetts and beyond. The course combines study of the social science of climate change mitigation with real-world examples to facilitate a deeper understanding of the many ways people are, and each of us can, contribute to making the planet more livable for current and future generations. In this course you will: meet a range of organizers and advocates from different backgrounds working to advance climate justice in areas such as energy, housing, transportation, and food/agriculture in Massachusetts; meet local elected officials and discuss how to translate climate justice work into policy/legislation; take field trips to local farms, energy production sites, housing developments, and more to learn how communities meet the real needs of everyone in society for things like energy, shelter, and food, while addressing climate change and advancing equality and justice; gain knowledge of the social science of climate change mitigation and develop your research skills; and feel more empowered to plug into the work of climate justice in your own life as students and beyond graduation.
Limited to 22 students. Spring semester. Professor Holleman and Professor Ravikumar
 

How to handle overenrollment: Priority to ENST, SOCI, and ANTH majors, seniors and juniors.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on written work, reading, independent research, oral and visual presentations to broader publics on and off-campus, field trips (sometimes outside normal class meeting times). Students should expect to present their work to the public on and off-campus. We will speak with people engaged in research and collective action toward climate change mitigation and climate justice throughout the course.","Ashwin Ravikumar

Hannah Holleman",5,22,Open,,Thursday | 2:30 PM - 5:15 PM,,Thursday | 2:30 PM - 5:15 PM,Thursday,11:30,14:15,Environmental Studies,272,01,
Fall 2023,Undergraduate,Lecture,Environmental Studies,ENST 274-01 - Qualitative Methods,ENST 274 - Qualitative Methods,Qualitative Methods,"This is a seminar on qualitative research methods drawing from and providing examples for interdisciplinary environmental studies. This course introduces students to various qualitative research methods, including discourse analysis and archival research methods (especially digital living archives, including materials from social media), field site and participant observation, individual structured and semi-structured interviews, focus group interviews, oral history, and innovations in ethnographic research methods. Practical exercises will involve taking field notes, recording and transcribing interviews, and coding qualitative material for analysis. We will discuss the relationship between theory and methods, compare and assess the advantages and disadvantages of various methods, and guide students to learn how to determine which particular combination of methods are necessary, useful, and feasible for their proposed research projects. We will also work on the development of research design, the selection of field sites and research subjects, carefully examine ethical principles and requirements, and provide practical training in fieldwork safety. Students will produce a full-length research proposal with detailed presentation of methods.
Requisite: ENST-120, and one 200-level (or higher) ENST course, or permission of instructor. Not open to first-year students. Limited to 15 students. Fall semester. Assistant Professor Zhang.

How to handle overenrollment: ENST majors first, followed by SOCI majors, undeclared, first and second years, then 5-College students

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: An emphasis on independent research, field work, and writing.",Li Zhang,1,15,Open,,Monday/Wednesday | 3:00 PM - 4:20 PM,,Monday/Wednesday | 3:00 PM - 4:20 PM,Monday/Wednesday,12:00,13:20,Environmental Studies,274,01,
Fall 2023,Undergraduate,Lecture,Environmental Studies,ENST 495-01 - Senior Seminar,ENST 495 - Senior Seminar,Senior Seminar,"The Senior Seminar is the capstone course in the environmental studies major, which serves as the comprehensive requirement, and is taken by all seniors in the fall of their senior year. The diversity of student interests is one of the strengths of the environmental studies department at Amherst and the senior seminar captures this diversity by asking students to explore their own interests through substantial, original research on an environmental topic.  The capstone is designed to be flexible to accommodate diverse interests and cultivate different skills, including finding and making sense of material from a variety of sources, articulating effective arguments, and gaining fluency in the communication of ideas.
Open to seniors. Fall semester. Professor Sims and Levin.

How to handle overenrollment: permission from Professor(s)

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: In-class presentations, discussion leading, reading, independent research, and writing.","Katharine Sims

Rachel Levin",13,0,Open,,Tuesday/Thursday | 1:00 PM - 2:20 PM,,Tuesday/Thursday | 1:00 PM - 2:20 PM,Tuesday/Thursday,10:00,11:20,Environmental Studies,495,01,
Fall 2023,Undergraduate,Lecture,Environmental Studies,ENST 498-01 - Senior Honors (Senior Honors),ENST 498 - Senior Honors,Senior Honors,"Fall semester. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on research and writing.",,6,0,Open,,,,,,,,Environmental Studies,498,01,
Fall 2023,Undergraduate,Lecture,"European Studies

History",EUST 111-01/ HIST 111-01 - The Holocaust,EUST 111/ HIST 111 - The Holocaust,The Holocaust,"(Offered as HIST 111 [EU/TR/TS] and EUST 111.) This course is a detailed examination of the history of the Holocaust. The Nazi attempt to exterminate the Jews of Europe was an event of global proportions and significance, which still shapes the world in which we live. In this introductory course we will interrogate the origins and preconditions of the Nazi genocide and analyze the transition of Nazi policy from exclusion and persecution of the Jews to systematic murder. We will closely study the perpetrators and try to understand how “ordinary men” became mass murderers. Students will reflect on the historical significance of the ""bystanders."" Throughout the semester we will pay special attention to Jewish dilemmas and conduct during the Holocaust, in response to persecution and mass murder. The Holocaust raises some of the most formidable challenges for historians. Students in this course will identify the major debates and controversies among historians and will gain a deep understanding of the nature and significance of these dilemmas of historical interpretation. Three class meetings per week.
Limited to 45 students. Fall Semester. Professor Gordon .

How to handle overenrollment: Priority given to History and European Studies Majors, and then to First-Year Students and Sophomores. 

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Close analysis of historical evidence from the Holocaust, which may include written documents, testimonies, images, or films. Exploration of scholarly, methodological, and theoretical debates about the history of the Holocaust. Extensive reading, varying forms of written work, and some independent research. Intensive in-class discussions, debates, and group work.",Adi Gordon,21,45,Open,,Monday/Wednesday | 9:00 AM - 9:50 AM,,Monday/Wednesday | 9:00 AM - 9:50 AM,Monday/Wednesday,06:00,06:50,History,111,01,
